pair_name,pair_tags,win_rate,games
Aatrox Aphelios,FighterMarksman,0.5084151472650772,1426.0
Aatrox Azir,FighterMage,0.5522388059701493,134.0
Aatrox Bard,FighterSupport,0.5174129353233831,1005.0
Aatrox Illaoi,FighterFighter,0.3333333333333333,9.0
Aatrox Ivern,FighterSupport,0.5714285714285714,49.0
Aatrox Kalista,FighterMarksman,0.5199335548172758,602.0
Aatrox Nami,FighterSupport,0.43842364532019706,203.0
Aatrox Neeko,FighterMage,0.5192307692307693,104.0
Aatrox Ornn,FighterTank,0.4724770642201835,218.0
Aatrox Pyke,FighterSupport,0.4508816120906801,794.0
Aatrox Rakan,FighterSupport,0.5298507462686567,402.0
Aatrox Rek'Sai,FighterFighter,0.5059642147117296,1006.0
Aatrox Sett,FighterFighter,0.44390243902439025,615.0
Aatrox Sylas,FighterMage,0.4357682619647355,1191.0
Aatrox Thresh,FighterSupport,0.5028735632183908,1740.0
Aatrox Xayah,FighterMarksman,0.472636815920398,402.0
Aatrox Yuumi,FighterSupport,0.4230055658627087,539.0
Ahri Aatrox,FighterMage,0.4857142857142857,175.0
Ahri Aphelios,MageMarksman,0.4956140350877193,228.0
Ahri Bard,MageSupport,0.5625,176.0
Ahri Braum,MageSupport,0.5,60.0
Ahri Camille,FighterMage,0.5764705882352941,85.0
Ahri Darius,FighterMage,0.46153846153846156,78.0
Ahri Diana,FighterMage,0.5,2.0
Ahri Draven,MageMarksman,0.4230769230769231,26.0
Ahri Ekko,AssassinMage,0.5813953488372093,129.0
Ahri Fiora,FighterMage,0.5111111111111111,90.0
Ahri Fizz,AssassinMage,1.0,2.0
Ahri Gnar,FighterMage,0.5,16.0
Ahri Graves,MageMarksman,0.5545454545454546,110.0
Ahri Hecarim,FighterMage,0.3793103448275862,29.0
Ahri Illaoi,FighterMage,0.38461538461538464,13.0
Ahri Ivern,MageSupport,0.6,10.0
Ahri Jayce,FighterMage,0.5263157894736842,57.0
Ahri Jhin,MageMarksman,0.6086956521739131,69.0
Ahri Jinx,MageMarksman,0.47058823529411764,51.0
Ahri Kai'Sa,MageMarksman,0.5196850393700787,254.0
Ahri Kalista,MageMarksman,0.48514851485148514,101.0
Ahri Kayn,FighterMage,0.5104166666666666,96.0
Ahri Kha'Zix,AssassinMage,0.48148148148148145,27.0
Ahri Kindred,MageMarksman,0.5875,80.0
Ahri Kled,FighterMage,0.6078431372549019,51.0
Ahri Lissandra,MageMage,0.0,1.0
Ahri Lucian,MageMarksman,0.4767932489451477,237.0
Ahri Lulu,MageSupport,0.45652173913043476,46.0
Ahri Nami,MageSupport,0.475,40.0
Ahri Nautilus,MageTank,0.5436893203883495,206.0
Ahri Neeko,MageMage,0.5833333333333334,12.0
Ahri Ornn,MageTank,0.47413793103448276,116.0
Ahri Pyke,MageSupport,0.44366197183098594,142.0
Ahri Qiyana,AssassinMage,0.5294117647058824,17.0
Ahri Quinn,MageMarksman,0.5,14.0
Ahri Rakan,MageSupport,0.421875,64.0
Ahri Rek'Sai,FighterMage,0.5154185022026432,227.0
Ahri Rengar,AssassinMage,0.47540983606557374,61.0
Ahri Sejuani,MageTank,0.4782608695652174,23.0
Ahri Senna,MageMarksman,0.5462555066079295,227.0
Ahri Sett,FighterMage,0.526829268292683,205.0
Ahri Sylas,MageMage,0.5227272727272727,88.0
Ahri Syndra,MageMage,0.5625,16.0
Ahri Tahm Kench,MageSupport,0.6623376623376623,77.0
Ahri Taliyah,MageMage,0.5714285714285714,42.0
Ahri Thresh,MageSupport,0.4940119760479042,334.0
Ahri Varus,MageMarksman,0.48760330578512395,121.0
Ahri Vel'Koz,MageMage,0.5,12.0
Ahri Vi,FighterMage,0.4,15.0
Ahri Viktor,MageMage,0.3333333333333333,6.0
Ahri Volibear,FighterMage,0.55,40.0
Ahri Xayah,MageMarksman,0.44680851063829785,94.0
Ahri Yasuo,FighterMage,0.46511627906976744,43.0
Ahri Yuumi,MageSupport,0.358695652173913,92.0
Ahri Zac,MageTank,0.48514851485148514,101.0
Ahri Zed,AssassinMage,0.6,5.0
Ahri Ziggs,MageMage,0.5714285714285714,7.0
Ahri Zoe,MageMage,0.25,4.0
Ahri Zyra,MageMage,0.4166666666666667,12.0
Akali Aatrox,AssassinFighter,0.43342776203966005,353.0
Akali Ahri,AssassinMage,0.4482758620689655,29.0
Akali Aphelios,AssassinMarksman,0.48990825688073397,545.0
Akali Aurelion Sol,AssassinMage,0.4117647058823529,17.0
Akali Azir,AssassinMage,0.5238095238095238,21.0
Akali Bard,AssassinSupport,0.5072115384615384,416.0
Akali Braum,AssassinSupport,0.44025157232704404,159.0
Akali Camille,AssassinFighter,0.5185185185185185,243.0
Akali Darius,AssassinFighter,0.4444444444444444,108.0
Akali Diana,AssassinFighter,0.45,60.0
Akali Draven,AssassinMarksman,0.46835443037974683,79.0
Akali Ekko,AssassinAssassin,0.47641509433962265,424.0
Akali Fiora,AssassinFighter,0.4049586776859504,121.0
Akali Fizz,AssassinAssassin,0.5441176470588235,68.0
Akali Garen,AssassinFighter,0.4,110.0
Akali Gnar,AssassinFighter,0.5454545454545454,11.0
Akali Graves,AssassinMarksman,0.45662100456621,219.0
Akali Hecarim,AssassinFighter,0.48484848484848486,66.0
Akali Illaoi,AssassinFighter,0.6,10.0
Akali Ivern,AssassinSupport,0.29411764705882354,34.0
Akali Jayce,AssassinFighter,0.43646408839779005,181.0
Akali Jhin,AssassinMarksman,0.45549738219895286,191.0
Akali Jinx,AssassinMarksman,0.4734042553191489,188.0
Akali Kai'Sa,AssassinMarksman,0.4177777777777778,675.0
Akali Kalista,AssassinMarksman,0.46798029556650245,203.0
Akali Kayn,AssassinFighter,0.52,75.0
Akali Kennen,AssassinMage,0.46296296296296297,54.0
Akali Kha'Zix,AssassinAssassin,0.42528735632183906,87.0
Akali Kindred,AssassinMarksman,0.48936170212765956,235.0
Akali Kled,AssassinFighter,0.4326923076923077,104.0
Akali Kog'Maw,AssassinMarksman,0.35714285714285715,14.0
Akali Leona,AssassinTank,0.4641350210970464,474.0
Akali Lissandra,AssassinMage,0.43243243243243246,37.0
Akali Lucian,AssassinMarksman,0.463030303030303,825.0
Akali Lulu,AssassinSupport,0.45614035087719296,114.0
Akali Lux,AssassinMage,0.5151515151515151,66.0
Akali Malzahar,AssassinMage,0.4444444444444444,18.0
Akali Nami,AssassinSupport,0.4537037037037037,108.0
Akali Nautilus,AssassinTank,0.4573643410852713,645.0
Akali Neeko,AssassinMage,0.4444444444444444,36.0
Akali Ornn,AssassinTank,0.46540880503144655,159.0
Akali Pyke,AssassinSupport,0.434052757793765,417.0
Akali Qiyana,AssassinAssassin,0.5242718446601942,309.0
Akali Quinn,AssassinMarksman,0.45901639344262296,61.0
Akali Rakan,AssassinSupport,0.5466666666666666,225.0
Akali Rek'Sai,AssassinFighter,0.5078014184397163,705.0
Akali Rengar,AssassinAssassin,0.44047619047619047,84.0
Akali Riven,AssassinFighter,0.5,34.0
Akali Sejuani,AssassinTank,0.4230769230769231,78.0
Akali Senna,AssassinMarksman,0.4648876404494382,712.0
Akali Sett,AssassinFighter,0.4507462686567164,335.0
Akali Shen,AssassinTank,0.49038461538461536,104.0
Akali Shyvana,AssassinFighter,0.45652173913043476,46.0
Akali Sylas,AssassinMage,0.4653846153846154,260.0
Akali Syndra,AssassinMage,0.475177304964539,141.0
Akali Tahm Kench,AssassinSupport,0.48046875,256.0
Akali Taliyah,AssassinMage,0.45374449339207046,227.0
Akali Talon,AssassinAssassin,0.49079754601226994,163.0
Akali Thresh,AssassinSupport,0.5029515938606848,847.0
Akali Varus,AssassinMarksman,0.4032258064516129,310.0
Akali Vel'Koz,AssassinMage,0.4878048780487805,41.0
Akali Vi,AssassinFighter,0.6,35.0
Akali Viktor,AssassinMage,0.5,32.0
Akali Volibear,AssassinFighter,0.4,75.0
Akali Xayah,AssassinMarksman,0.4875,320.0
Akali Xerath,AssassinMage,0.5909090909090909,22.0
Akali Yasuo,AssassinFighter,0.46875,256.0
Akali Yuumi,AssassinSupport,0.40718562874251496,167.0
Akali Zac,AssassinTank,0.4911242603550296,169.0
Akali Zed,AssassinAssassin,0.49411764705882355,85.0
Akali Ziggs,AssassinMage,0.42857142857142855,21.0
Akali Zoe,AssassinMage,0.5100671140939598,149.0
Akali Zyra,AssassinMage,0.3611111111111111,36.0
Alistar Aatrox,FighterTank,0.5106382978723404,282.0
Alistar Ahri,MageTank,0.4318181818181818,44.0
Alistar Akali,AssassinTank,0.5080645161290323,124.0
Alistar Amumu,TankTank,0.6666666666666666,6.0
Alistar Anivia,MageTank,0.46153846153846156,26.0
Alistar Aphelios,MarksmanTank,0.5077319587628866,388.0
Alistar Ashe,MarksmanTank,0.4507042253521127,71.0
Alistar Aurelion Sol,MageTank,0.4838709677419355,31.0
Alistar Azir,MageTank,0.6388888888888888,36.0
Alistar Brand,MageTank,0.6666666666666666,3.0
Alistar Caitlyn,MarksmanTank,0.45161290322580644,62.0
Alistar Camille,FighterTank,0.5035971223021583,139.0
Alistar Cassiopeia,MageTank,0.5929203539823009,113.0
Alistar Cho'Gath,TankTank,0.5357142857142857,28.0
